DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
6/16/13,6/22/13,ÓLEO DIESEL,6445,R$/l,"2,334","0,115","1,949","3,060","0,278","0,049","2,056","0,081","1,750","2,607","0,039"
6/16/13,6/22/13,ÓLEO DIESEL S10,2334,R$/l,"2,432","0,120","2,190","3,100","0,268","0,049","2,164","0,079","1,948","2,678","0,037"
6/16/13,6/22/13,GASOLINA COMUM,8650,R$/l,"2,844","0,170","2,329","3,699","0,397","0,060","2,447","0,114","2,152","2,935","0,047"
6/16/13,6/22/13,GLP,8026,R$/13Kg,"40,887","4,203","27,000","62,000","10,863","0,103","30,024","4,712","15,870","45,000","0,157"
6/16/13,6/22/13,GNV,514,R$/m3,"1,780","0,168","1,379","2,599","0,408","0,094","1,372","0,164","0,952","1,928","0,120"
6/23/13,6/29/13,ETANOL HIDRATADO,8052,R$/l,"1,926","0,302","1,290","3,160","0,315","0,157","1,611","0,277","1,159","2,501","0,172"
6/23/13,6/29/13,ÓLEO DIESEL,6415,R$/l,"2,334","0,114","1,989","3,060","0,280","0,049","2,054","0,081","1,750","2,607","0,039"
6/23/13,6/29/13,ÓLEO DIESEL S10,2435,R$/l,"2,435","0,121","2,140","3,100","0,269","0,050","2,166","0,080","2,000","2,678","0,037"
6/23/13,6/29/13,GASOLINA COMUM,8643,R$/l,"2,844","0,170","2,309","3,699","0,401","0,060","2,443","0,114","2,120","2,935","0,047"
6/23/13,6/29/13,GLP,8020,R$/13Kg,"40,895","4,218","27,000","62,000","10,967","0,103","29,928","4,636","15,870","45,000","0,155"
6/23/13,6/29/13,GNV,522,R$/m3,"1,792","0,158","1,379","2,799","0,435","0,088","1,357","0,165","0,952","1,928","0,122"
6/30/13,7/6/13,ETANOL HIDRATADO,8071,R$/l,"1,924","0,301","1,290","3,120","0,307","0,156","1,617","0,266","1,159","2,501","0,165"
6/30/13,7/6/13,ÓLEO DIESEL,6406,R$/l,"2,334","0,115","1,989","3,060","0,278","0,049","2,056","0,082","1,771","2,607","0,040"
